horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch
5,5,chronological_712,42,42.04805102013328,370,55
5,10,chronological_712,42,43.24682185515057,740,52
5,15,chronological_712,42,43.54257777536373,1110,51
5,20,chronological_712,42,39.41134921956256,1480,27
10,5,chronological_712,42,54.88174102163571,370,22
10,10,chronological_712,42,51.981264968367,740,26
10,15,chronological_712,42,50.233129308306566,1110,32
10,20,chronological_712,42,47.96239014047167,1480,20
15,5,chronological_712,42,65.65348374520134,370,19
15,10,chronological_712,42,57.66411991937822,740,22
15,15,chronological_712,42,61.32923858075751,1110,26
15,20,chronological_712,42,58.50305886572398,1480,19
20,5,chronological_712,42,74.58979427486807,370,18
20,10,chronological_712,42,68.40281008679452,740,20
20,15,chronological_712,42,70.3445408162291,1110,22
20,20,chronological_712,42,69.00109079569857,1480,18
