step,date,window_id,cumulative_dir_acc,cumulative_return,rolling_12_dir_acc,rolling_12_sharpe
1,2020-03-01,0,1.0,0.07112970711297062,1.0,0.0
2,2020-04-01,1,1.0,0.15583923649963616,1.0,65.41596596818187
3,2020-05-01,2,1.0,0.1727704753155488,1.0,6.636489612168359
4,2020-06-01,3,1.0,0.18181788496118467,1.0,4.644412765582568
5,2020-07-01,4,1.0,0.3211563747665216,1.0,4.848867052340501
6,2020-08-01,5,1.0,0.42988311948414926,1.0,5.526035440925872
7,2020-09-01,6,1.0,0.519135402017598,1.0,5.972757424819114
8,2020-10-01,7,0.875,0.2780347789741331,0.875,1.4879645716993484
9,2020-11-01,8,0.8888888888888888,0.3469078039350568,0.8888888888888888,1.670950189077225
10,2020-12-01,9,0.8,0.284727016344007,0.8,1.289378683492688
11,2021-01-01,10,0.8181818181818182,0.34054176176764117,0.8181818181818182,1.414811238306389
12,2021-02-01,11,0.75,0.32343054307257657,0.75,1.2837281505316096
13,2021-03-01,12,0.7692307692307693,0.3639039163500355,0.75,1.1387950921255778
14,2021-04-01,13,0.7857142857142857,0.3855142052659164,0.75,0.9035131962488384
15,2021-05-01,14,0.8,0.4039455991025971,0.75,0.8976756895422009
16,2021-06-01,15,0.8125,0.46558975274047176,0.75,1.0478391717062978
17,2021-07-01,16,0.8235294117647058,0.5167149766732786,0.75,0.7660392522851603
18,2021-08-01,17,0.8333333333333334,0.5898516345610829,0.75,0.6316173355970034
19,2021-09-01,18,0.8421052631578947,0.622600230220522,0.75,0.4412840473876172
20,2021-10-01,19,0.85,0.7139408141493007,0.8333333333333334,3.034061960066332
21,2021-11-01,20,0.8571428571428571,0.7989577196130557,0.8333333333333334,3.026229632417884
22,2021-12-01,21,0.8636363636363636,0.8297735161043338,0.9166666666666666,5.462963457163495
23,2022-01-01,22,0.8695652173913043,0.9114042438549244,0.9166666666666666,5.460389076848104
24,2022-02-01,23,0.875,1.0430278893898444,1.0,7.506105714391212
25,2022-03-01,24,0.88,1.0999635200387834,1.0,7.416310703099465
26,2022-04-01,25,0.8846153846153846,1.2381964128144456,1.0,8.033602876423865
27,2022-05-01,26,0.8888888888888888,1.3130656590177456,1.0,9.340253671960122
28,2022-06-01,27,0.8928571428571429,1.5136731931769716,1.0,8.007005832098875
29,2022-07-01,28,0.896551724137931,1.7406317608743813,1.0,7.647560530306848
30,2022-08-01,29,0.9,1.757391019843757,1.0,6.268298165182054
31,2022-09-01,30,0.9032258064516129,1.8637622839051455,1.0,6.745675436905775
32,2022-10-01,31,0.90625,1.953862777642597,1.0,6.378689804099861
33,2022-11-01,32,0.9090909090909091,2.097667853366272,1.0,6.37010147810208
34,2022-12-01,33,0.9117647058823529,2.163164470023236,1.0,6.510152182269555
35,2023-01-01,34,0.9142857142857143,2.2349556856427455,1.0,6.041760938197473
36,2023-02-01,35,0.9166666666666666,2.2498474788131975,1.0,5.0966732731734865
37,2023-03-01,36,0.918918918918919,2.384781329094674,1.0,5.2891977220516475
38,2023-04-01,37,0.9210526315789473,2.6150466785889535,1.0,5.27808931460661
39,2023-05-01,38,0.9230769230769231,2.7358136564713305,1.0,5.277415215115897
40,2023-06-01,39,0.925,2.8545006258902386,1.0,5.4407189704547845
41,2023-07-01,40,0.926829268292683,2.9745420430277236,1.0,6.563984801729157
42,2023-08-01,41,0.9285714285714286,2.9818267608485227,1.0,6.272667643923318
43,2023-09-01,42,0.9302325581395349,3.109421209538696,1.0,6.2129163264301015
44,2023-10-01,43,0.9318181818181818,3.401125459319342,1.0,5.763793747748018
45,2023-11-01,44,0.9333333333333333,3.613813029080969,1.0,5.764726914866542
46,2023-12-01,45,0.9347826086956522,3.842777362150761,1.0,6.159237626781184
47,2024-01-01,46,0.9361702127659575,4.057710703693637,1.0,6.57159252279372
48,2024-02-01,47,0.9375,4.160415976996989,1.0,7.463223137487128
49,2024-03-01,48,0.9183673469387755,4.10643673037568,0.9166666666666666,5.315636045017601
50,2024-04-01,49,0.92,4.259920206430839,0.9166666666666666,5.365527863914314
51,2024-05-01,50,0.9215686274509803,4.301302601429673,0.9166666666666666,4.769585062039027
52,2024-06-01,51,0.9230769230769231,4.569919693043153,0.9166666666666666,4.8516514636186105
53,2024-07-01,52,0.9245283018867925,4.759855327604607,0.9166666666666666,4.887092870860183
54,2024-08-01,53,0.9259259259259259,5.152416212825965,0.9166666666666666,5.704056149834789
55,2024-09-01,54,0.9272727272727272,5.482150131505706,0.9166666666666666,5.881988222034856
56,2024-10-01,55,0.9285714285714286,5.731676868817729,0.9166666666666666,6.0298583449359455
57,2024-11-01,56,0.9298245614035088,5.919256179319617,0.9166666666666666,5.807990712084604
58,2024-12-01,57,0.9310344827586207,5.977737437062976,0.9166666666666666,5.077724027315811
59,2025-01-01,58,0.9322033898305084,6.364851857981865,0.9166666666666666,5.0423086868044305
60,2025-02-01,59,0.9166666666666666,6.156693191740117,0.8333333333333334,3.518414185968078
61,2025-03-01,60,0.9180327868852459,6.2570060179055496,0.9166666666666666,4.0851944593689025
62,2025-04-01,61,0.9193548387096774,6.526135822234508,0.9166666666666666,4.152727227170045
63,2025-05-01,62,0.9206349206349206,6.810330200239808,0.9166666666666666,4.654290773176858
64,2025-06-01,63,0.921875,6.8136159933404565,0.9166666666666666,3.920456140989154
65,2025-07-01,64,0.9230769230769231,6.974169746628273,0.9166666666666666,3.7606493825180722
66,2025-08-01,65,0.9242424242424242,7.601238603911488,0.9166666666666666,3.6646303659123443
67,2025-09-01,66,0.9253731343283582,8.146334581869166,0.9166666666666666,3.651568864256732
68,2025-10-01,67,0.9264705882352942,8.40097922335434,0.9166666666666666,3.5583177038348692
69,2025-11-01,68,0.927536231884058,8.844049172751815,0.9166666666666666,3.6966058892596307
70,2025-12-01,69,0.9285714285714286,9.287724628425135,0.9166666666666666,4.149359340161053
71,2026-01-01,70,0.9295774647887324,9.411507411387468,0.9166666666666666,3.738384646403169
72,2026-02-01,71,0.9305555555555556,10.03825583597234,1.0,5.743090294116859
73,2026-03-01,72,0.9315068493150684,10.427097961413901,1.0,6.322333499465938
74,2026-04-01,73,0.9324324324324325,10.751511335742178,1.0,6.148407161212152
75,2026-05-01,74,0.9333333333333333,10.896468302452735,1.0,5.510552139519915
76,2026-06-01,75,0.9342105263157895,11.406246919451121,1.0,6.865128161728483
