模型,模型类型,特征,回看月,预测月,Head,测试月数,BA,AUC,AP,R2,R2状态
aeon_knn_euclidean,官方aeon短时序,含新闻PCA,6,2,回归头,76,0.662,0.531,0.629,0.706,ok
mlp_small_relu,ML类官方包,含新闻PCA,6,1,分类头,78,0.654,0.628,0.666,0.529,ok
aeon_deep_timecnn,官方aeon短时序,含新闻PCA,12,2,分类头,70,0.647,0.494,0.570,0.686,ok
knn_5_distance,ML类官方包,含新闻PCA,6,2,回归头,76,0.642,0.534,0.632,0.706,ok
sgd_modified_huber,ML类官方包,含新闻PCA,6,1,分类头,78,0.641,0.583,0.546,0.748,ok
lightgbm_dart,ML类官方包,含新闻PCA,12,1,回归头,72,0.638,0.573,0.527,0.828,ok
aeon_deep_timecnn,官方aeon短时序,不含新闻,12,2,分类头,70,0.629,0.490,0.560,0.688,ok
keras_lstm_u16,Keras短序列深度,不含新闻,12,1,分类头,72,0.628,0.495,0.452,0.819,ok
knn_3_uniform,ML类官方包,含新闻PCA,12,2,分类头,70,0.627,0.516,0.560,0.525,ok
keras_tcn_filters16_k2_d1,Keras短序列深度,不含新闻,9,1,回归头,75,0.626,0.601,0.594,0.569,ok
svc_sigmoid,ML类官方包,不含新闻,9,1,分类头,75,0.626,0.558,0.592,0.824,ok
aeon_rise,官方aeon短时序,不含新闻,6,2,分类头,76,0.625,0.521,0.633,0.720,ok
