period,month,soybean_import_volume_ton,soybean_import_value_usd
201606,2016-06,6630552.374497,3040953624.0
201607,2016-07,7052603.946277,3234518079.0
201608,2016-08,7153159.681667,3280635704.0
201609,2016-09,6682701.330406,3064870569.0
201610,2016-10,4885985.809595999,2240847431.0
201611,2016-11,7357201.920916,3374215085.0
201612,2016-12,8557484.567204,3924697708.0
201701,2017-01,7131625.471574999,3320546958.0
201702,2017-02,5448724.55329,2387181265.0
201703,2017-03,6210960.841484,2721130278.0
201704,2017-04,7751149.952608,3395913992.0
201705,2017-05,9063418.040199,3970841956.0
201706,2017-06,7072479.805512999,3098576763.0
201707,2017-07,9206329.052502,4033453638.0
201708,2017-08,7797517.209511,3416228296.0
201709,2017-09,7497582.821336,3284821809.0
201710,2017-10,5167017.786409,2405808502.0
201711,2017-11,8246004.658391,3612718470.0
201712,2017-12,8571404.573995,3990920653.0
201801,2018-01,,
201802,2018-02,5425962.737,2261065934.0
201803,2018-03,5663841.421,2392519901.0
201804,2018-04,6920911.806,2972836650.0
201805,2018-05,9687557.15,4218178501.0
201806,2018-06,8698713.28,3877484230.0
201807,2018-07,7974065.451,3541832702.0
201808,2018-08,9150187.22,3948386018.0
201809,2018-09,8009605.2,3421900548.0
201810,2018-10,6921071.106,3010910985.0
201811,2018-11,5383610.42,2340731427.0
201812,2018-12,5723475.64,2548845459.0
201901,2019-01,7376345.14,3305966412.0
201902,2019-02,4456014.98,1952708239.0
201903,2019-03,4915996.53,2010725932.0
201904,2019-04,7640223.736,3059255897.0
201905,2019-05,7341797.882,2866064689.0
201906,2019-06,6462078.07,2429801064.0
201907,2019-07,8640859.92,3263661271.0
201908,2019-08,9480234.69,3667668527.0
201909,2019-09,8194799.955,3181760583.0
201910,2019-10,6181027.26,2409133386.0
201911,2019-11,8281131.37,3316293305.0
201912,2019-12,9542296.85,3878982198.0
202001,2020-01,8008406.84,3239113602.0
202002,2020-02,5504341.24,2241216589.0
202003,2020-03,4277938.845,1721001822.0
202004,2020-04,6715021.45,2622214261.0
202005,2020-05,9376716.85,3595093656.0
202006,2020-06,11159049.475,4208245910.0
202007,2020-07,10092974.12,3781714068.0
202008,2020-08,9604942.7,3625406244.0
202009,2020-09,9788543.24,3747679355.0
202010,2020-10,8678736.029,3474417822.0
202011,2020-11,9585122.63,4014920456.0
202012,2020-12,7522703.46,3274550365.0
202101,2021-01,7826222.59,3581877973.0
202102,2021-02,5535621.0,2688509651.0
202103,2021-03,7711146.646,3895878371.0
202104,2021-04,7446617.648,4057297529.0
202105,2021-05,9607456.649,5107634277.0
202106,2021-06,10661677.077,5988764845.0
202107,2021-07,8672359.41,4981224441.0
202108,2021-08,9463786.51,5538574554.0
202109,2021-09,6876221.959,4097265923.0
202110,2021-10,5107790.48,3051165249.0
202111,2021-11,8238215.31,4907021823.0
202112,2021-12,8578343.6,5187875494.0
202201,2022-01,8713224.58,5268869103.0
202202,2022-02,4567805.91,2778105041.0
202203,2022-03,5817688.49,3668862161.0
202204,2022-04,8067227.688052,5353774598.0
202205,2022-05,9673283.652,6490307057.0
202206,2022-06,8247176.476,5760766162.0
202207,2022-07,7882891.536,5735168727.0
202208,2022-08,7163029.322,5169655671.0
202209,2022-09,7647171.921,5464659770.0
202210,2022-10,4120197.291,2844826751.0
202211,2022-11,7211636.363,4841240037.0
202212,2022-12,10106364.358,6673560782.0
202301,2023-01,8377750.666,5565309261.0
202302,2023-02,6446829.884,4349800233.0
202303,2023-03,6711426.83,4439528234.0
202304,2023-04,7196536.849,4589108852.0
202305,2023-05,12009344.52,7372561196.0
202306,2023-06,10266259.543,6067140387.0
202307,2023-07,9731775.946,5470645567.0
202308,2023-08,9362690.08,5212612784.0
202309,2023-09,7154535.43,4077010308.0
202310,2023-10,5157606.992,2939683012.0
202311,2023-11,7917642.538,4543772936.0
202312,2023-12,9822791.726,5636671204.0
202401,2024-01,7920461.291,4530527343.0
202402,2024-02,5115302.338,2866634663.0
202403,2024-03,5539939.31,3005311244.0
202404,2024-04,8571613.35,4368047792.0
202405,2024-05,10220570.9,4982371137.0
202406,2024-06,11112673.169,5409600440.0
202407,2024-07,9854119.353,4806542156.0
202408,2024-08,12144306.838,5960396373.0
202409,2024-09,11370349.564,5659411299.0
202410,2024-10,8087792.92,3914236460.0
202411,2024-11,7154111.9,3518390412.0
202412,2024-12,7941463.444,3704626505.0
202501,2025-01,,
202502,2025-02,,
202503,2025-03,,
202504,2025-04,,
202505,2025-05,,
202506,2025-06,,
202507,2025-07,,
202508,2025-08,,
202509,2025-09,,
202510,2025-10,,
202511,2025-11,,
202512,2025-12,,
202601,2026-01,,
202602,2026-02,,
202603,2026-03,,
202604,2026-04,,
202605,2026-05,,
202606,2026-06,,
